n,strategy,mean,median,p25,p75,min,max
5,llm_paraphrase,5.0,5,5,5,5,5
5,constrained,14.5,15,14,15,13,15
5,mlm_substitution,5.0,5,5,5,4,5
5,expansion,5.0,5,5,5,4,5
10,llm_paraphrase,10.0,10,10,10,10,10
10,constrained,14.5,15,14,15,13,15
10,mlm_substitution,9.9,10,10,10,9,10
10,expansion,5.0,5,5,5,2,5
20,llm_paraphrase,19.2,20,19,20,15,20
20,constrained,14.5,15,14,15,13,15
20,mlm_substitution,19.8,20,20,20,9,20
20,expansion,4.9,5,5,5,2,5
50,llm_paraphrase,44.1,45,40,48,26,50
50,constrained,44.0,44,43,45,39,45
50,mlm_substitution,45.1,50,46,50,9,50
50,expansion,11.9,12,12,12,8,12
80,llm_paraphrase,67.0,69,59,76,27,80
80,constrained,43.7,44,43,45,39,45
80,mlm_substitution,59.4,64,46,80,9,80
80,expansion,19.7,20,20,20,15,20
100,llm_paraphrase,80.0,82,70,93,33,100
100,constrained,43.6,44,43,45,39,45
100,mlm_substitution,64.5,64,46,92,9,100
100,expansion,24.7,25,25,25,16,25
